fecha;casos;casosAcum;x2;max_f;media_f;de_f
7/03/2020;1;1;;;;
8/03/2020;0;1;;;;
9/03/2020;0;1;0;;;
10/03/2020;2;3;0;;;
11/03/2020;0;3;2;;;
12/03/2020;6;9;0;;;
13/03/2020;0;9;6;2;1;1
14/03/2020;7;16;0;6;2;3
15/03/2020;18;34;7;6;1;2
16/03/2020;11;45;18;7;3;3
17/03/2020;12;57;11;18;6;7
18/03/2020;8;65;12;18;7;7
19/03/2020;37;102;8;18;9;6
20/03/2020;26;128;37;18;9;6
21/03/2020;30;158;26;37;16;11
22/03/2020;52;210;30;37;19;11
23/03/2020;25;235;52;37;21;12
24/03/2020;71;306;25;52;28;16
25/03/2020;72;378;71;52;30;15
26/03/2020;92;470;72;71;40;18
27/03/2020;21;491;92;72;46;22
28/03/2020;48;539;21;92;57;26
29/03/2020;69;608;48;92;56;28
30/03/2020;94;702;69;92;55;28
31/03/2020;96;798;94;92;62;25
1/04/2020;108;906;96;94;66;28
2/04/2020;159;1065;108;96;70;30
3/04/2020;96;1161;159;108;73;33
4/04/2020;106;1267;96;159;96;38
5/04/2020;139;1406;106;159;104;30
6/04/2020;79;1485;139;159;110;25
7/04/2020;94;1579;79;159;117;26
8/04/2020;201;1780;94;159;115;29
9/04/2020;274;2054;201;159;112;30
10/04/2020;169;2223;274;201;119;45
11/04/2020;250;2473;169;274;149;75
12/04/2020;236;2709;250;274;159;72
13/04/2020;67;2776;236;274;178;80
14/04/2020;76;2852;67;274;204;65
15/04/2020;127;2979;76;274;200;75
16/04/2020;126;3105;127;274;179;90
17/04/2020;128;3233;126;250;154;78
18/04/2020;206;3439;128;250;147;79
19/04/2020;182;3621;206;236;127;60
20/04/2020;171;3792;182;206;122;50
21/04/2020;185;3977;171;206;141;46
22/04/2020;172;4149;185;206;157;34
23/04/2020;207;4356;172;206;166;33
24/04/2020;205;4561;207;206;174;26
25/04/2020;320;4881;205;207;187;16
26/04/2020;261;5142;320;207;187;16
27/04/2020;237;5379;261;320;210;56
28/04/2020;218;5597;237;320;225;56
29/04/2020;352;5949;218;320;234;52
30/04/2020;262;6211;352;320;241;44
1/05/2020;296;6507;262;352;266;59
2/05/2020;499;7006;296;352;275;51
3/05/2020;279;7285;499;352;271;48
4/05/2020;383;7668;279;499;311;104
5/05/2020;305;7973;383;499;318;99
6/05/2020;640;8613;305;499;345;88
7/05/2020;346;8959;640;499;337;90
8/05/2020;497;9456;346;640;400;143
9/05/2020;595;10051;497;640;409;137
10/05/2020;444;10495;595;640;408;137
11/05/2020;568;11063;444;640;461;138
12/05/2020;550;11613;568;640;471;133
13/05/2020;659;12272;550;640;515;108
14/05/2020;658;12930;659;595;500;93
15/05/2020;680;13610;658;659;552;75
16/05/2020;606;14216;680;659;579;80
17/05/2020;723;14939;606;680;593;90
18/05/2020;635;15574;723;680;620;54
19/05/2020;721;16295;635;723;646;60
20/05/2020;640;16935;721;723;660;40
21/05/2020;752;17687;640;723;671;47
22/05/2020;643;18330;752;723;668;48
23/05/2020;801;19131;643;752;680;60
24/05/2020;1046;20177;801;752;686;52
25/05/2020;998;21175;1046;801;699;70
26/05/2020;806;21981;998;1046;767;150
27/05/2020;1022;23003;806;1046;813;174
28/05/2020;1101;24104;1022;1046;841;153
29/05/2020;1262;25366;1101;1046;886;161
30/05/2020;1322;26688;1262;1101;962;128
31/05/2020;1548;28236;1322;1262;1039;148
1/06/2020;1147;29383;1548;1322;1085;188
2/06/2020;1110;30493;1147;1548;1177;258
3/06/2020;1340;31833;1110;1548;1234;188
4/06/2020;1521;33354;1340;1548;1248;171
5/06/2020;1766;35120;1521;1548;1288;157
6/06/2020;1515;36635;1766;1548;1331;182
7/06/2020;1392;38027;1515;1766;1405;254
8/06/2020;1209;39236;1392;1766;1400;250
9/06/2020;1483;40719;1209;1766;1441;219
10/06/2020;1359;42078;1483;1766;1457;191
11/06/2020;1604;43682;1359;1766;1481;182
12/06/2020;0;43682;1604;1766;1454;187
13/06/2020;3176;46858;0;1604;1427;138
14/06/2020;1888;48746;3176;1604;1175;590
15/06/2020;2193;50939;1888;3176;1472;1017
16/06/2020;2124;53063;2193;3176;1585;1020
17/06/2020;1868;54931;2124;3176;1703;1046
18/06/2020;2115;57046;1868;3176;1831;1042
19/06/2020;3171;60217;2115;3176;1875;1036
20/06/2020;3059;63276;3171;3176;2227;483
21/06/2020;2357;65633;3059;3171;2227;482
22/06/2020;3019;68652;2357;3171;2422;549
23/06/2020;2531;71183;3019;3171;2449;540
24/06/2020;2389;73572;2531;3171;2598;555
