fecha;casos;casosAcum;x2;max_f;media_f;de_f
25/06/2020;3541;77113;2389;3171;2709;434
26/06/2020;3486;80599;3541;3171;2754;368
27/06/2020;3843;84442;3486;3541;2816;469
28/06/2020;4149;88591;3843;3541;2887;540
29/06/2020;3178;91769;4149;3843;3135;587
30/06/2020;3274;95043;3178;4149;3323;711
1/07/2020;2803;97846;3274;4149;3431;608
2/07/2020;4163;102009;2803;4149;3579;363
3/07/2020;4101;106110;4163;4149;3456;483
4/07/2020;3395;109505;4101;4163;3568;564
5/07/2020;3884;113389;3395;4163;3611;598
6/07/2020;3721;117110;3884;4163;3486;539
7/07/2020;3171;120281;3721;4163;3603;535
8/07/2020;4213;124494;3171;4163;3678;511
9/07/2020;4144;128638;4213;4163;3739;393
10/07/2020;5335;133973;4144;4213;3748;404
11/07/2020;6803;140776;5335;4213;3755;412
12/07/2020;4586;145362;6803;5335;4078;720
