fecha,fechaformato,dia_mes,casos,casosAcum,muertes,muertesAcum
2020-03-07,2020-03-07,03-07,1,1,0,0
2020-03-08,2020-03-08,03-08,0,1,0,0
2020-03-09,2020-03-09,03-09,0,1,0,0
2020-03-10,2020-03-10,03-10,2,3,0,0
2020-03-11,2020-03-11,03-11,0,3,0,0
2020-03-12,2020-03-12,03-12,6,9,0,0
2020-03-13,2020-03-13,03-13,0,9,0,0
2020-03-14,2020-03-14,03-14,7,16,0,0
2020-03-15,2020-03-15,03-15,18,34,0,0
2020-03-16,2020-03-16,03-16,11,45,0,0
2020-03-17,2020-03-17,03-17,12,57,0,0
2020-03-18,2020-03-18,03-18,8,65,0,0
2020-03-19,2020-03-19,03-19,37,102,0,0
2020-03-20,2020-03-20,03-20,26,128,0,0
2020-03-21,2020-03-21,03-21,30,158,0,0
2020-03-22,2020-03-22,03-22,52,210,1,1
2020-03-23,2020-03-23,03-23,25,235,1,2
2020-03-24,2020-03-24,03-24,71,306,1,3
2020-03-25,2020-03-25,03-25,72,378,0,3
2020-03-26,2020-03-26,03-26,92,470,1,4
2020-03-27,2020-03-27,03-27,21,491,2,6
2020-03-28,2020-03-28,03-28,48,539,0,6
2020-03-29,2020-03-29,03-29,69,608,0,6
2020-03-30,2020-03-30,03-30,94,702,4,10
2020-03-31,2020-03-31,03-31,96,798,4,14
2020-04-01,2020-04-01,04-01,108,906,2,16
2020-04-02,2020-04-02,04-02,159,1065,1,17
2020-04-03,2020-04-03,04-03,96,1161,2,19
2020-04-04,2020-04-04,04-04,106,1267,6,25
2020-04-05,2020-04-05,04-05,139,1406,7,32
2020-04-06,2020-04-06,04-06,79,1485,3,35
2020-04-07,2020-04-07,04-07,94,1579,11,46
2020-04-08,2020-04-08,04-08,201,1780,4,50
2020-04-09,2020-04-09,04-09,274,2054,5,55
2020-04-10,2020-04-10,04-10,169,2223,14,69
2020-04-11,2020-04-11,04-11,250,2473,11,80
2020-04-12,2020-04-12,04-12,236,2709,20,100
2020-04-13,2020-04-13,04-13,67,2776,9,109
2020-04-14,2020-04-14,04-14,76,2852,3,112
2020-04-15,2020-04-15,04-15,127,2979,15,127
2020-04-16,2020-04-16,04-16,126,3105,4,131
2020-04-17,2020-04-17,04-17,128,3233,13,144
2020-04-18,2020-04-18,04-18,206,3439,9,153
2020-04-19,2020-04-19,04-19,182,3621,13,166
2020-04-20,2020-04-20,04-20,171,3792,13,179
2020-04-21,2020-04-21,04-21,185,3977,10,189
2020-04-22,2020-04-22,04-22,172,4149,7,196
2020-04-23,2020-04-23,04-23,207,4356,10,206
2020-04-24,2020-04-24,04-24,205,4561,9,215
2020-04-25,2020-04-25,04-25,320,4881,10,225
2020-04-26,2020-04-26,04-26,261,5142,8,233
2020-04-27,2020-04-27,04-27,237,5379,10,243
2020-04-28,2020-04-28,04-28,218,5597,10,253
